Disease,Description,Total_Symptoms,All_Symptoms,Symptom_1,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Average_Symptom_Weight,Max_Symptom_Weight,Min_Symptom_Weight,Symptom_10_Weight,Symptom_11_Weight,Symptom_12_Weight,Symptom_13_Weight,Symptom_14_Weight,Symptom_15_Weight,Symptom_16_Weight,Symptom_17_Weight,Symptom_1_Weight,Symptom_2_Weight,Symptom_3_Weight,Symptom_4_Weight,Symptom_5_Weight,Symptom_6_Weight,Symptom_7_Weight,Symptom_8_Weight,Symptom_9_Weight,Total_Symptom_Weight,Average_Symptom_Weight,Max_Symptom_Weight,Min_Symptom_Weight,Total_Symptom_Weight,Weight_Std,All_Precautions,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",7,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",itching,,,,,,,,,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,3.7142857142857144,5.0,1.0,,,,,,,,,1,5.0,3.0,5.0,4.0,4.0,4.0,,,26.0,3.7142857142857144,5.0,1.0,26.0,1.3801311186847085,"cold baths, anti itch medicine, consult doctor, eat healthy",cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",6,"vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",vomiting,,,,,,,,,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,4.166666666666667,5.0,3.0,,,,,,,,,5,3.0,5.0,4.0,4.0,4.0,,,,25.0,4.166666666666667,5.0,3.0,25.0,0.752772652709081,"cold baths, anti itch medicine, consult doctor, eat healthy",cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",6,"itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",itching,,,,,,,,,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,3.5,5.0,1.0,,,,,,,,,1,3.0,5.0,4.0,4.0,4.0,,,,21.0,3.5,5.0,1.0,21.0,1.378404875209022,"cold baths, anti itch medicine, consult doctor, eat healthy",cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",6,"itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",itching,,,,,,,,,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,3.8333333333333335,5.0,1.0,,,,,,,,,1,5.0,5.0,4.0,4.0,4.0,,,,23.0,3.8333333333333335,5.0,1.0,23.0,1.4719601443879746,"cold baths, anti itch medicine, consult doctor, eat healthy",cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",6,"itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes",itching,,,,,,,,,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,3.5,5.0,1.0,,,,,,,,,1,5.0,3.0,4.0,4.0,4.0,,,,21.0,3.5,5.0,1.0,21.0,1.378404875209022,"cold baths, anti itch medicine, consult doctor, eat healthy",cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",6,"itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes",itching,,,,,,,,,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes,,,,3.6666666666666665,5.0,1.0,,,,,,,,,1,5.0,3.0,5.0,4.0,4.0,,,,22.0,3.6666666666666665,5.0,1.0,22.0,1.505545305418162,"cold baths, anti itch medicine, consult doctor, eat healthy",cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",6,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes",itching,,,,,,,,,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,,,,3.6666666666666665,5.0,1.0,,,,,,,,,1,5.0,3.0,5.0,4.0,4.0,,,,22.0,3.6666666666666665,5.0,1.0,22.0,1.505545305418162,"cold baths, anti itch medicine, consult doctor, eat healthy",cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",6,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain",itching,,,,,,,,,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,,,,3.6666666666666665,5.0,1.0,,,,,,,,,1,5.0,3.0,5.0,4.0,4.0,,,,22.0,3.6666666666666665,5.0,1.0,22.0,1.505545305418162,"cold baths, anti itch medicine, consult doctor, eat healthy",cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",7,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",itching,,,,,,,,,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,3.7142857142857144,5.0,1.0,,,,,,,,,1,5.0,3.0,5.0,4.0,4.0,4.0,,,26.0,3.7142857142857144,5.0,1.0,26.0,1.3801311186847085,"cold baths, anti itch medicine, consult doctor, eat healthy",cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",7,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",itching,,,,,,,,,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,3.7142857142857144,5.0,1.0,,,,,,,,,1,5.0,3.0,5.0,4.0,4.0,4.0,,,26.0,3.7142857142857144,5.0,1.0,26.0,1.3801311186847085,"cold baths, anti itch medicine, consult doctor, eat healthy",cold baths,anti itch medicine,consult doctor,eat healthy
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,5,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination",itching,,,,,,,,,skin_rash,stomach_pain,burning_micturition,spotting_ urination,,,,,3.75,6.0,1.0,,,,,,,,,1,3.0,5.0,6.0,,,,,,15.0,3.75,6.0,1.0,15.0,2.217355782608345,"stop irritation, consult nearest hospital, stop taking drug, follow up",stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,4,"itching, stomach_pain, burning_micturition, spotting_ urination",itching,,,,,,,,,stomach_pain,burning_micturition,spotting_ urination,,,,,,4.0,6.0,1.0,,,,,,,,,1,5.0,6.0,,,,,,,12.0,4.0,6.0,1.0,12.0,2.6457513110645907,"stop irritation, consult nearest hospital, stop taking drug, follow up",stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,4,"itching, skin_rash, burning_micturition, spotting_ urination",itching,,,,,,,,,skin_rash,burning_micturition,spotting_ urination,,,,,,3.3333333333333335,6.0,1.0,,,,,,,,,1,3.0,6.0,,,,,,,10.0,3.3333333333333335,6.0,1.0,10.0,2.5166114784235836,"stop irritation, consult nearest hospital, stop taking drug, follow up",stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,4,"itching, skin_rash, stomach_pain, spotting_ urination",itching,,,,,,,,,skin_rash,stomach_pain,spotting_ urination,,,,,,3.0,5.0,1.0,,,,,,,,,1,3.0,5.0,,,,,,,9.0,3.0,5.0,1.0,9.0,2.0,"stop irritation, consult nearest hospital, stop taking drug, follow up",stop irritation,consult nearest hospital,stop taking drug,follow up
